season,team,TEAM_ABBREVIATION,first_name,last_name,full_name,position,salary,MIN,FG_PCT,FG3_PCT,FT_PCT,REB,AST,TOV,STL,BLK,PTS,mp,raptor_offense,raptor_defense,raptor_total,war_total
2015,New Orleans Pelicans,NOP,Alexis,Ajinca,Alexis Ajinca,Power Forward and Center,4300000,860.715,0.476,0,0.839,269,31,54,19,36,352,967,-0.397201369,1.375576424,0.978375055,1.837508138
2016,New Orleans Pelicans,NOP,Alexis,Ajinca,Alexis Ajinca,Power Forward and Center,4600000,584.335,0.5,0,0.725,177,12,31,20,22,207,861,-3.444059038,1.2915655,-2.152493538,0.262838216
2011,Toronto Raptors,TOR,Solomon,Alabi,Solomon Alabi,Center,830000,122.165,0.361,0,0.875,47,3,5,2,9,33,59,-7.281181707,-0.221871906,-7.503053613,-0.142240584
2011,Oklahoma City Thunder,OKC,Cole,Aldrich,Cole Aldrich,Center,2286000,173.1416667,0.524,0,0.929,48,3,9,8,16,57,142,-4.030393201,0.176647451,-3.853745751,-0.080905875
2012,Sacramento Kings,TOT,Cole,Aldrich,Cole Aldrich,Center,2445480,387.74,0.55,0,0.6,120,9,23,5,23,100,198,-1.834624772,0.693105824,-1.141518948,0.161406368
2012,Sacramento Kings,SAC,Cole,Aldrich,Cole Aldrich,Center,2445480,174.8716667,0.568,0,0.727,63,3,9,2,14,50,198,-1.834624772,0.693105824,-1.141518948,0.161406368
2012,Sacramento Kings,HOU,Cole,Aldrich,Cole Aldrich,Center,2445480,212.8683333,0.535,0,0.444,57,6,14,3,9,50,198,-1.834624772,0.693105824,-1.141518948,0.161406368
2014,New York Knicks,NYK,Cole,Aldrich,Cole Aldrich,Center,981084,976.2983333,0.478,0,0.781,338,75,59,37,65,338,330,-0.508187124,3.896700735,3.388513611,1.02873738
2015,LA Clippers,LAC,Cole,Aldrich,Cole Aldrich,Center,1100600,799.6366667,0.596,0,0.714,288,50,64,47,68,328,976,-2.78804587,1.459642861,-1.328403009,0.709716538
2016,Minnesota Timberwolves,MIN,Cole,Aldrich,Cole Aldrich,Center,7643979,531.045,0.523,0,0.682,158,25,17,25,23,105,877,-1.340703831,2.88412763,1.543423799,1.936260175
2017,Minnesota Timberwolves,MIN,Cole,Aldrich,Cole Aldrich,Center,7300000,48.69833333,0.333,0,0.333,15,3,1,2,1,12,531,-2.040379858,-0.173788867,-2.214168724,0.144464506
2007,Portland Trail Blazers,POR,LaMarcus,Aldridge,LaMarcus Aldridge,Power Forward and Center,4329360,2648.913333,0.484,0.143,0.762,578,122,126,55,94,1350,1392,-0.34394613,0.058657158,-0.285288973,1.74674163
2008,Portland Trail Blazers,POR,LaMarcus,Aldridge,LaMarcus Aldridge,Power Forward and Center,4631400,3003.813333,0.484,0.25,0.781,605,157,121,77,77,1470,2649,-0.155916249,0.560672302,0.404756053,4.242447459
2009,Portland Trail Blazers,POR,LaMarcus,Aldridge,LaMarcus Aldridge,Power Forward and Center,5844827,2921.638333,0.495,0.313,0.757,627,160,104,67,48,1393,3241,1.525846295,0.430490685,1.95633698,7.720210051
2010,Portland Trail Blazers,POR,LaMarcus,Aldridge,LaMarcus Aldridge,Power Forward and Center,11244000,3211.421667,0.5,0.174,0.791,709,170,153,82,94,1769,3151,0.494712677,1.053571368,1.548284046,6.881575233
2011,Portland Trail Blazers,POR,LaMarcus,Aldridge,LaMarcus Aldridge,Power Forward and Center,12372000,1994.385,0.512,0.182,0.814,442,134,111,51,45,1191,3469,1.336008497,1.152865428,2.488873925,9.205587742
2012,Portland Trail Blazers,POR,LaMarcus,Aldridge,LaMarcus Aldridge,Power Forward and Center,13500000,2789.92,0.484,0.143,0.81,670,192,143,62,91,1560,1994,2.011800865,0.456563958,2.468364823,5.278213129
2013,Portland Trail Blazers,POR,LaMarcus,Aldridge,LaMarcus Aldridge,Power Forward and Center,14128000,2498.891667,0.458,0.2,0.822,765,178,123,63,68,1603,2790,0.305294019,0.958419974,1.263713993,5.669712619
2014,Portland Trail Blazers,POR,LaMarcus,Aldridge,LaMarcus Aldridge,Power Forward and Center,16006000,2511.588333,0.466,0.352,0.845,726,124,122,48,68,1661,2939,1.433515593,2.326357965,3.759873558,9.746017938
2015,San Antonio Spurs,SAS,LaMarcus,Aldridge,LaMarcus Aldridge,Power Forward and Center,19500000,2260.86,0.513,0,0.858,632,110,99,38,81,1331,2720,2.278443308,1.637708536,3.916151844,9.152786751
2016,San Antonio Spurs,SAS,LaMarcus,Aldridge,LaMarcus Aldridge,Power Forward and Center,20575005,2335.011667,0.477,0.411,0.812,523,139,98,46,88,1243,2598,0.982099464,1.616412491,2.598511954,7.059470295
2017,San Antonio Spurs,SAS,LaMarcus,Aldridge,LaMarcus Aldridge,Power Forward and Center,21461010,2508.618333,0.51,0.293,0.837,635,152,111,43,90,1735,2872,-1.393364987,1.052974577,-0.34039041,3.437144984
