2004-05,2005,2004,Courtney Alexander,Sacramento Kings,Point Guard and Shooting Guard,79029
1994-95,1995,1994,Gary Alexander,Cleveland Cavaliers,Power Forward,150000
2008-09,2009,2008,Joe Alexander,Milwaukee Bucks,Small Forward,2403120
2009-10,2010,2009,Joe Alexander,Chicago Bulls,Small Forward,2583360
2010-11,2011,2010,Joe Alexander,New Orleans Hornets,Small Forward,90465
1991-92,1992,1991,Victor Alexander,Golden State Warriors,Center,750000
1992-93,1993,1992,Victor Alexander,Golden State Warriors,Center,942000
1993-94,1994,1993,Victor Alexander,Golden State Warriors,Center,1160000
1994-95,1995,1994,Victor Alexander,Golden State Warriors,Center,1377500
1995-96,1996,1995,Victor Alexander,Toronto Raptors,Center,1595000
2001-02,2002,2001,Victor Alexander,Detroit Pistons,Center,653350
1987-88,1988,1987,Steve Alford,Dallas Mavericks,Point Guard,100000
1988-89,1989,1988,Steve Alford,Golden State Warriors,Point Guard,150000
1990-91,1991,1990,Steve Alford,Dallas Mavericks,Point Guard,250000
2017-18,2018,2017,Jarrett Allen,Brooklyn Nets,Center,1713720
1995-96,1996,1995,Jerome Allen,Minnesota Timberwolves,Shooting Guard,200000
1996-97,1997,1996,Jerome Allen,Indiana Pacers,Shooting Guard,247500
1997-98,1998,1997,Jerome Allen,Cleveland Cavaliers,Shooting Guard,35000
1999-00,2000,1999,Jerome Allen,Milwaukee Bucks,Shooting Guard,510000
2011-12,2012,2011,Lavoy Allen,Philadelphia 76ers,Power Forward and Center,473604
2012-13,2013,2012,Lavoy Allen,Philadelphia 76ers,Power Forward and Center,3000000
2013-14,2014,2013,Lavoy Allen,Philadelphia 76ers,Power Forward and Center,3060000
2014-15,2015,2014,Lavoy Allen,Indiana Pacers,Power Forward and Center,948163
2015-16,2016,2015,Lavoy Allen,Indiana Pacers,Power Forward and Center,3700000
2016-17,2017,2016,Lavoy Allen,Indiana Pacers,Power Forward and Center,4000000
2001-02,2002,2001,Malik Allen,Miami Heat,Power Forward,332817
2002-03,2003,2002,Malik Allen,Miami Heat,Power Forward,512435
2003-04,2004,2003,Malik Allen,Miami Heat,Power Forward,1510000
2004-05,2005,2004,Malik Allen,Miami Heat,Power Forward,1950625
2005-06,2006,2005,Malik Allen,Chicago Bulls,Power Forward,1670000
2006-07,2007,2006,Malik Allen,Chicago Bulls,Power Forward,1803600
2007-08,2008,2007,Malik Allen,Dallas Mavericks,Power Forward,998398
2008-09,2009,2008,Malik Allen,Milwaukee Bucks,Power Forward,1300000
2009-10,2010,2009,Malik Allen,Denver Nuggets,Power Forward,1300000
2010-11,2011,2010,Malik Allen,Orlando Magic,Power Forward,1229255
1996-97,1997,1996,Ray Allen,Milwaukee Bucks,Shooting Guard,1785000
1997-98,1998,1997,Ray Allen,Milwaukee Bucks,Shooting Guard,2052360
1998-99,1999,1998,Ray Allen,Milwaukee Bucks,Shooting Guard,2320000
1999-00,2000,1999,Ray Allen,Milwaukee Bucks,Shooting Guard,9000000
2000-01,2001,2000,Ray Allen,Milwaukee Bucks,Shooting Guard,10130000
2001-02,2002,2001,Ray Allen,Milwaukee Bucks,Shooting Guard,11250000
2002-03,2003,2002,Ray Allen,Milwaukee Bucks,Shooting Guard,12375000
2003-04,2004,2003,Ray Allen,Seattle SuperSonics,Shooting Guard,13500000
2004-05,2005,2004,Ray Allen,Seattle SuperSonics,Shooting Guard,14625000
2005-06,2006,2005,Ray Allen,Seattle SuperSonics,Shooting Guard,13223140
2006-07,2007,2006,Ray Allen,Seattle SuperSonics,Shooting Guard,14611570
2007-08,2008,2007,Ray Allen,Boston Celtics,Shooting Guard,16000000
2008-09,2009,2008,Ray Allen,Boston Celtics,Shooting Guard,18388430
2009-10,2010,2009,Ray Allen,Boston Celtics,Shooting Guard,18776860
2010-11,2011,2010,Ray Allen,Boston Celtics,Shooting Guard,10000000
2011-12,2012,2011,Ray Allen,Boston Celtics,Shooting Guard,10000000
2012-13,2013,2012,Ray Allen,Miami Heat,Shooting Guard,3090000
2013-14,2014,2013,Ray Allen,Miami Heat,Shooting Guard,3229050
2004-05,2005,2004,Tony Allen,Boston Celtics,Shooting Guard and Small Forward and Point Guard,901920
2005-06,2006,2005,Tony Allen,Boston Celtics,Shooting Guard and Small Forward and Point Guard,969696
2006-07,2007,2006,Tony Allen,Boston Celtics,Shooting Guard and Small Forward and Point Guard,1037280
2007-08,2008,2007,Tony Allen,Boston Celtics,Shooting Guard and Small Forward and Point Guard,1868141
2008-09,2009,2008,Tony Allen,Boston Celtics,Shooting Guard and Small Forward and Point Guard,2500000
2009-10,2010,2009,Tony Allen,Boston Celtics,Shooting Guard and Small Forward and Point Guard,2500000
2010-11,2011,2010,Tony Allen,Memphis Grizzlies,Shooting Guard and Small Forward and Point Guard,3000000
2011-12,2012,2011,Tony Allen,Memphis Grizzlies,Shooting Guard and Small Forward and Point Guard,3150000
2012-13,2013,2012,Tony Allen,Memphis Grizzlies,Shooting Guard and Small Forward and Point Guard,3300000
2013-14,2014,2013,Tony Allen,Memphis Grizzlies,Shooting Guard and Small Forward and Point Guard,4494382
2014-15,2015,2014,Tony Allen,Memphis Grizzlies,Shooting Guard and Small Forward and Point Guard,4831461
2015-16,2016,2015,Tony Allen,Memphis Grizzlies,Shooting Guard and Small Forward and Point Guard,5168539
2016-17,2017,2016,Tony Allen,Memphis Grizzlies,Shooting Guard and Small Forward and Point Guard,5505618
2017-18,2018,2017,Tony Allen,Chicago Bulls,Shooting Guard and Small Forward and Point Guard,1471382
2007-08,2008,2007,Morris Almond,Utah Jazz,Shooting Guard,1005960
2008-09,2009,2008,Morris Almond,Utah Jazz,Shooting Guard,1081440
1994-95,1995,1994,Derrick Alston,Philadelphia 76ers,Center,150000
1995-96,1996,1995,Derrick Alston,Philadelphia 76ers,Center,350000
1999-00,2000,1999,Rafer Alston,Milwaukee Bucks,Point Guard,301875
2000-01,2001,2000,Rafer Alston,Milwaukee Bucks,Point Guard,423500
2001-02,2002,2001,Rafer Alston,Milwaukee Bucks,Point Guard,625000
2002-03,2003,2002,Rafer Alston,Toronto Raptors,Point Guard,37344
2003-04,2004,2003,Rafer Alston,Miami Heat,Point Guard,688679
2004-05,2005,2004,Rafer Alston,Toronto Raptors,Point Guard,3500000
2005-06,2006,2005,Rafer Alston,Houston Rockets,Point Guard,3850000
2006-07,2007,2006,Rafer Alston,Houston Rockets,Point Guard,4200000
2007-08,2008,2007,Rafer Alston,Houston Rockets,Point Guard,4550000
