"team","seasonyear","sg_totalassistslast3years","sg_totalstealslast3years","sg_totalblockslast3years","sg_totalturnoverslast3years","sg_personalfoulslast3years","sg_totalpointslast3years","pf_totalassistslast3years","pf_totalstealslast3years","pf_totalblockslast3years","pf_totalturnoverslast3years","pf_personalfoulslast3years","pf_totalpointslast3years","sf_totalassistslast3years","sf_totalstealslast3years","sf_totalblockslast3years","sf_totalturnoverslast3years","sf_personalfoulslast3years","sf_totalpointslast3years","c_totalassistslast3years","c_totalstealslast3years","c_totalblockslast3years","c_totalturnoverslast3years","c_personalfoulslast3years","c_totalpointslast3years","pg_totalassistslast3years","pg_totalstealslast3years","pg_totalblockslast3years","pg_totalturnoverslast3years","pg_personalfoulslast3years","pg_totalpointslast3years"
"BOS",2012,"104.2500000000000000","40.0833333333333333","12.8333333333333333","62.2500000000000000","98.3333333333333333","535.5833333333333333","24.8333333333333334","14.6666666666666667","29.1666666666666667","39.1666666666666667","73.0000000000000000","370.6666666666666667","140.6666666666666667","47.8333333333333334","22.6666666666666667","99.1666666666666667","124.3333333333333333","741.1666666666666667","66.4166666666666667","34.8333333333333334","53.0000000000000000","58.8333333333333334","126.7500000000000000","450.6666666666666667","269.3888888888888889","60.8888888888888889","5.7777777777777778","96.9444444444444444","78.8333333333333333","399.4444444444444444"
"BOS",2013,"181.5000000000000000","74.5000000000000000","16.0000000000000000","102.0000000000000000","111.0000000000000000","831.0000000000000000","49.1333333333333333","25.9000000000000000","30.9000000000000000","50.9666666666666667","120.7666666666666667","469.6000000000000000","116.44444444444444443333","31.4444444444444444","12.88888888888888890000","73.5555555555555556","74.4444444444444444","508.6666666666666667","49.53333333333333332000","26.3333333333333333","28.4666666666666667","45.40000000000000002000","86.8666666666666667","318.6000000000000000","252.8888888888888889","61.8888888888888889","8.1111111111111111","104.1111111111111111","96.7777777777777778","506.8888888888888889"
"BOS",2014,"10.44444444444444443333","5.44444444444444443333","0.44444444444444443333","7.5555555555555556","18.55555555555555556667","47.2222222222222222","71.6111111111111111","32.9444444444444444","51.5000000000000000","78.7777777777777778","172.9444444444444444","670.7777777777777778","103.3333333333333333","52.0555555555555556","34.3888888888888889","90.7222222222222222","113.8333333333333333","634.1111111111111111","44.3333333333333333","22.1111111111111111","33.3333333333333333","56.7777777777777778","121.6666666666666667","294.1111111111111111","242.4166666666666667","60.1666666666666667","8.4166666666666667","99.9166666666666667","111.0833333333333334","474.0833333333333334"
"BOS",2015,"136.0000000000000000","50.0000000000000000","9.6666666666666667","85.6666666666666667","111.8333333333333333","645.0833333333333333","93.6666666666666667","37.0000000000000000","46.6666666666666667","81.8333333333333333","179.3333333333333334","750.0000000000000000","68.1111111111111111","43.4444444444444445","15.4444444444444444","43.7777777777777778","70.3888888888888889","280.2222222222222222","95.3333333333333334","36.5833333333333334","43.1666666666666667","89.5000000000000000","208.8333333333333334","622.7500000000000000","193.5000000000000000","74.0000000000000000","11.7500000000000000","77.0000000000000000","125.7500000000000000","359.0000000000000000"
"BOS",2016,"126.6666666666666667","46.2500000000000000","9.6250000000000000","76.5000000000000000","95.4583333333333333","531.0833333333333333","86.66666666666666664000","32.93333333333333334000","35.2666666666666667","69.00000000000000000000","139.8666666666666667","523.2666666666666667","48.16666666666666665000","42.83333333333333335000","13.50000000000000000000","29.33333333333333335000","72.50000000000000000000","340.0000000000000000","83.5000000000000000","32.8333333333333333","35.1666666666666667","76.6666666666666667","173.6666666666666667","591.0000000000000000","216.3888888888888889","60.4444444444444444","8.77777777777777776667","98.6666666666666667","123.2777777777777778","691.8333333333333333"
"BOS",2017,"133.0000000000000000","67.3333333333333333","13.3333333333333333","72.1111111111111111","120.7777777777777778","582.0000000000000000","67.8888888888888889","27.1666666666666667","32.0555555555555556","47.8888888888888889","118.8333333333333333","329.6111111111111111","84.0000000000000000","51.5555555555555556","19.4444444444444445","65.5555555555555555","137.5555555555555555","663.5555555555555555","154.4444444444444444","42.4444444444444445","55.7777777777777778","81.4444444444444444","152.0000000000000000","750.3333333333333333","167.0000000000000000","32.72222222222222223333","5.00000000000000000000","74.66666666666666666667","69.11111111111111110000","652.8888888888888889"
"BRK",2013,"145.9444444444444444","37.8888888888888889","10.3888888888888889","84.2777777777777778","94.9444444444444445","661.6666666666666667","41.4444444444444445","30.2222222222222222","26.2222222222222222","59.2222222222222222","114.7777777777777778","348.2222222222222222","45.5333333333333333","25.6666666666666667","13.79999999999999998000","35.6666666666666667","45.8000000000000000","224.4000000000000000","77.0000000000000000","47.5000000000000000","66.6666666666666667","107.5000000000000000","133.1666666666666667","891.0000000000000000","262.4444444444444444","47.3333333333333333","10.66666666666666666667","109.0000000000000000","98.6666666666666667","624.0000000000000000"
"BRK",2014,"147.0833333333333334","28.7500000000000000","9.1666666666666667","78.3333333333333334","73.7500000000000000","642.1666666666666667","75.5000000000000000","58.5555555555555555","28.0555555555555555","82.5000000000000000","115.5000000000000000","454.6111111111111111","98.1250000000000000","34.4166666666666667","13.12500000000000000000","71.0416666666666667","99.7916666666666667","528.7083333333333333","59.1666666666666667","32.5833333333333333","44.1666666666666667","59.7500000000000000","107.6666666666666667","487.7500000000000000","180.9666666666666667","41.5000000000000000","11.43333333333333332000","80.6000000000000000","84.0000000000000000","484.2666666666666667"
"BRK",2015,"101.9166666666666667","36.5833333333333334","8.33333333333333335000","59.6250000000000000","87.1250000000000000","525.3333333333333334","48.1666666666666667","25.7500000000000000","25.1666666666666667","42.5833333333333333","85.0000000000000000","340.7500000000000000","75.6666666666666667","39.8333333333333334","18.0000000000000000","68.0000000000000000","76.6666666666666667","520.0000000000000000","41.7777777777777778","31.1111111111111111","59.1111111111111111","67.0555555555555556","127.8888888888888889","588.2777777777777778","305.3333333333333333","51.7777777777777778","11.99999999999999998889","121.0000000000000000","113.3333333333333333","711.0000000000000000"
"BRK",2016,"50.1666666666666667","24.7777777777777778","5.83333333333333333333","30.7777777777777778","53.1666666666666667","311.1111111111111111","70.0000000000000000","64.5555555555555555","23.3333333333333333","72.0000000000000000","114.3333333333333333","542.2222222222222222","107.7083333333333333","34.2083333333333334","8.4166666666666667","70.0416666666666667","83.8750000000000000","546.6250000000000000","41.0000000000000000","18.6666666666666667","43.5000000000000000","52.7500000000000000","93.0000000000000000","496.1666666666666667","231.1111111111111111","49.3333333333333333","7.6666666666666667","94.7777777777777778","89.8888888888888889","469.0000000000000000"
"BRK",2017,"72.7500000000000000","21.2500000000000000","7.8333333333333333","53.3333333333333333","68.0000000000000000","330.4166666666666667","46.8333333333333333","29.1333333333333333","17.3333333333333333","45.2666666666666667","93.1333333333333333","329.3333333333333333","100.3888888888888889","47.2777777777777778","15.0000000000000000","79.2222222222222222","111.0000000000000000","596.3333333333333333","84.9166666666666667","37.1666666666666667","80.5833333333333334","94.4166666666666667","142.4166666666666667","877.9166666666666667","170.2500000000000000","35.8333333333333333","19.6666666666666667","91.1666666666666667","114.5833333333333333","453.7500000000000000"
"CHA",2005,"47.7142857142857143","19.2380952380952381","5.19047619047619047143","36.5714285714285714","61.9047619047619048","233.4047619047619048","34.0833333333333333","25.1666666666666667","53.5000000000000000","63.0000000000000000","120.0833333333333334","462.0000000000000000","38.2222222222222222","27.8888888888888889","16.1666666666666667","41.4444444444444444","73.3888888888888889","283.1111111111111111","17.1666666666666667","10.5000000000000000","22.8333333333333334","34.1666666666666667","75.3333333333333334","229.6666666666666667","283.3333333333333334","79.0833333333333334","6.0833333333333334","84.9166666666666667","126.8333333333333334","411.2500000000000000"
